,Close,High,Low,Open,Volume
2017-01-12 09:35:00,806.7419,807.35,805.76,807.14,35904.0
2017-01-12 09:40:00,805.6,807.385,805.6,806.5,15141.0
2017-01-12 09:45:00,804.36,806.239,804.0001,805.5,16159.0
2017-01-12 09:50:00,804.8973,805.2,804.34,804.3835,5073.0
2017-01-12 09:55:00,804.205,805.18,804.1,804.49,18385.0
2017-01-12 10:00:00,804.75,805.25,804.165,804.25,12251.0
2017-01-12 10:05:00,804.22,805.214,804.21,804.45,8374.0
2017-01-12 10:10:00,802.4,804.27,802.01,804.25,14043.0
2017-01-12 10:15:00,802.1734,803.21,801.78,802.61,13151.0
2017-01-12 10:20:00,801.51,802.49,801.41,802.12,14631.0
2017-01-12 10:25:00,800.8,801.3542,800.22,801.225,14603.0
2017-01-12 10:30:00,801.59,801.98,800.51,800.8175,6750.0
2017-01-12 10:35:00,801.75,802.0,801.11,801.28,10939.0
2017-01-12 10:40:00,800.89,802.2155,800.89,801.67,4400.0
2017-01-12 10:45:00,802.64,802.84,800.8,800.8,6185.0
2017-01-12 10:50:00,802.8888,803.23,801.96,802.5364,9356.0
2017-01-12 10:55:00,801.48,802.807,801.48,802.57,3113.0
2017-01-12 11:00:00,800.26,801.67,800.04,801.435,9848.0
2017-01-12 11:05:00,799.48,800.38,799.41,800.25,13103.0
2017-01-12 11:10:00,799.58,800.09,799.41,799.57,3921.0
2017-01-12 11:15:00,800.47,800.47,799.17,799.7,5020.0
2017-01-12 11:20:00,800.7208,801.43,800.24,800.28,16602.0
2017-01-12 11:25:00,801.47,801.47,800.3,800.34,5509.0
2017-01-12 11:30:00,802.045,802.43,801.31,801.5,14199.0
2017-01-12 11:35:00,802.14,802.74,802.03,802.03,20440.0
2017-01-12 11:40:00,802.675,802.735,802.12,802.2334,2450.0
2017-01-12 11:45:00,802.7,802.75,802.2,802.57,12560.0
2017-01-12 11:50:00,802.13,802.76,801.96,802.76,15127.0
2017-01-12 11:55:00,802.3214,802.64,801.86,801.89,11702.0
2017-01-12 12:00:00,802.5,802.619,801.91,802.26,1330.0
2017-01-12 12:05:00,802.36,802.58,802.07,802.58,7104.0
2017-01-12 12:10:00,802.46,802.59,802.24,802.2954,1450.0
2017-01-12 12:15:00,802.47,802.7,802.11,802.642,2643.0
2017-01-12 12:20:00,802.8001,803.32,802.05,802.35,18968.0
2017-01-12 12:25:00,802.98,803.29,802.6201,802.9794,20238.0
2017-01-12 12:30:00,802.49,803.54,802.35,802.96,10793.0
2017-01-12 12:35:00,802.76,803.545,802.44,802.56,33342.0
2017-01-12 12:40:00,802.98,803.495,802.5847,802.83,23531.0
2017-01-12 12:45:00,802.9,803.32,802.9,803.309,4844.0
2017-01-12 12:50:00,803.04,803.75,802.82,803.29,10672.0
2017-01-12 12:55:00,803.59,803.8,803.04,803.07,5577.0
2017-01-12 13:00:00,803.07,803.63,802.8101,803.47,26746.0
2017-01-12 13:05:00,803.16,803.6,802.62,803.38,16135.0
2017-01-12 13:10:00,803.58,803.61,803.0,803.2,2842.0
2017-01-12 13:15:00,803.11,803.61,803.0001,803.58,7685.0
2017-01-12 13:20:00,803.2899,803.66,803.0401,803.17,13814.0
2017-01-12 13:25:00,803.03,803.63,803.03,803.29,5557.0
2017-01-12 13:30:00,802.56,803.38,802.56,803.285,8265.0
2017-01-12 13:35:00,803.14,803.2,802.87,803.06,6300.0
2017-01-12 13:40:00,803.0,803.69,803.0,803.4,9970.0
2017-01-12 13:45:00,803.26,803.68,802.85,803.26,13677.0
2017-01-12 13:50:00,803.36,803.65,803.0001,803.46,15708.0
2017-01-12 13:55:00,803.38,803.65,803.12,803.575,24300.0
2017-01-12 14:00:00,803.61,804.245,803.45,803.45,11461.0
2017-01-12 14:05:00,803.8,804.04,803.56,803.77,6816.0
2017-01-12 14:10:00,803.7946,804.11,803.54,803.77,5320.0
2017-01-12 14:15:00,803.6099,804.02,803.42,803.9,16444.0
2017-01-12 14:20:00,803.6734,804.09,803.34,803.53,6721.0
2017-01-12 14:25:00,803.49,803.975,803.43,803.84,9627.0
2017-01-12 14:30:00,803.7999,803.88,803.2207,803.49,12821.0
2017-01-12 14:35:00,805.025,805.6,803.84,803.86,14569.0
2017-01-12 14:40:00,804.5,805.29,804.42,805.0,9997.0
2017-01-12 14:45:00,805.1,805.1,804.03,804.474,8340.0
