,Open,High,Low,Close,Volume
2017-04-04 11:35:00,19.95,19.97,19.95,19.96,3461.0
2017-04-04 11:40:00,19.96,19.967,19.95,19.95,3025.0
2017-04-04 11:45:00,19.97,19.97,19.96,19.96,300.0
2017-04-04 11:50:00,19.965,19.99,19.96,19.99,4835.0
2017-04-04 11:55:00,19.97,20.0,19.97,19.9962,2100.0
2017-04-04 12:00:00,19.9901,20.0,19.99,20.0,2350.0
2017-04-04 12:05:00,19.99,20.04,19.99,20.04,7699.0
2017-04-04 12:10:00,20.035,20.07,20.03,20.07,10985.0
2017-04-04 12:15:00,20.06,20.065,20.05,20.065,1100.0
2017-04-04 12:20:00,20.07,20.08,20.07,20.075,1550.0
2017-04-04 12:25:00,20.08,20.08,20.08,20.08,200.0
2017-04-04 12:30:00,20.08,20.08,20.05,20.05,6731.0
2017-04-04 12:35:00,20.05,20.08,20.04,20.0701,4415.0
2017-04-04 12:40:00,20.08,20.08,20.07,20.07,1500.0
2017-04-04 12:45:00,20.08,20.09,20.07,20.08,2983.0
2017-04-04 12:50:00,20.08,20.1,20.07,20.07,2820.0
2017-04-04 12:55:00,20.0772,20.09,20.0772,20.09,976.0
2017-04-04 13:00:00,20.09,20.1,20.08,20.08,2054.0
2017-04-04 13:05:00,20.09,20.09,20.07,20.07,2200.0
2017-04-04 13:10:00,20.07,20.0701,20.06,20.07,2741.0
2017-04-04 13:15:00,20.079,20.079,20.06,20.07,1000.0
2017-04-04 13:20:00,20.06,20.09,20.05,20.08,3600.0
2017-04-04 13:25:00,20.09,20.1,20.0899,20.1,5097.0
2017-04-04 13:30:00,20.095,20.1,20.09,20.09,2520.0
2017-04-04 13:35:00,20.085,20.09,20.0765,20.08,2475.0
2017-04-04 13:40:00,20.08,20.11,20.06,20.06,8300.0
2017-04-04 13:45:00,20.08,20.1,20.07,20.1,2400.0
2017-04-04 13:50:00,20.11,20.11,20.1,20.1,1209.0
2017-04-04 13:55:00,20.09,20.1,20.09,20.1,700.0
2017-04-04 14:00:00,20.1,20.13,20.1,20.13,2200.0
2017-04-04 14:05:00,20.11,20.13,20.11,20.13,200.0
2017-04-04 14:10:00,20.13,20.14,20.1254,20.13,2348.0
2017-04-04 14:15:00,20.135,20.14,20.12,20.1225,1700.0
2017-04-04 14:20:00,20.13,20.16,20.12,20.15,7458.0
2017-04-04 14:25:00,20.157,20.17,20.13,20.155,5380.0
2017-04-04 14:30:00,20.15,20.16,20.15,20.16,1825.0
2017-04-04 14:35:00,20.155,20.17,20.155,20.17,2310.0
2017-04-04 14:40:00,20.165,20.17,20.16,20.17,5295.0
2017-04-04 14:45:00,20.17,20.17,20.14,20.15,3950.0
2017-04-04 14:50:00,20.16,20.17,20.16,20.1625,5895.0
2017-04-04 14:55:00,20.169,20.17,20.16,20.1604,13401.0
2017-04-04 15:00:00,20.17,20.175,20.155,20.16,7532.0
2017-04-04 15:05:00,20.16,20.185,20.14,20.18,4900.0
2017-04-04 15:10:00,20.19,20.2053,20.1846,20.19,9090.0
2017-04-04 15:15:00,20.185,20.19,20.13,20.13,4490.0
2017-04-04 15:20:00,20.13,20.145,20.12,20.141,7375.0
2017-04-04 15:25:00,20.14,20.14,20.12,20.12,2365.0
2017-04-04 15:30:00,20.1266,20.13,20.105,20.11,5616.0
2017-04-04 15:35:00,20.11,20.13,20.11,20.12,6439.0
2017-04-04 15:40:00,20.125,20.125,20.1,20.1,3615.0
2017-04-04 15:45:00,20.105,20.11,20.1,20.1,8116.0
2017-04-04 15:50:00,20.105,20.11,20.1,20.1,6349.0
2017-04-04 15:55:00,20.11,20.14,20.11,20.135,15821.0
2017-04-04 16:00:00,20.135,20.17,20.135,20.17,45819.0
2017-04-04 16:05:00,20.17,20.17,20.17,20.17,186944.0
2017-04-05 09:35:00,20.15,20.18,20.15,20.18,10457.0
2017-04-05 09:40:00,20.17,20.23,20.17,20.2166,1567.0
2017-04-05 09:45:00,20.215,20.3101,20.2,20.3101,24558.0
2017-04-05 09:50:00,20.33,20.385,20.33,20.3701,9425.0
2017-04-05 09:55:00,20.38,20.39,20.3502,20.3701,5665.0
2017-04-05 10:00:00,20.36,20.3684,20.35,20.3684,2300.0
2017-04-05 10:05:00,20.37,20.4,20.33,20.39,6344.0
2017-04-05 10:10:00,20.4,20.4475,20.39,20.43,13811.0
2017-04-05 10:15:00,20.435,20.441,20.43,20.44,4000.0
2017-04-05 10:20:00,20.4344,20.445,20.42,20.425,6593.0
2017-04-05 10:25:00,20.43,20.46,20.425,20.46,19734.0
2017-04-05 10:30:00,20.455,20.5,20.455,20.495,40072.0
2017-04-05 10:35:00,20.49,20.495,20.4201,20.45,28131.0
2017-04-05 10:40:00,20.45,20.4671,20.45,20.4575,7650.0
2017-04-05 10:45:00,20.46,20.49,20.46,20.49,6896.0
2017-04-05 10:50:00,20.49,20.5,20.49,20.4901,12046.0
2017-04-05 10:55:00,20.49,20.5,20.49,20.49,8586.0
2017-04-05 11:00:00,20.5,20.5,20.48,20.48,17527.0
2017-04-05 11:05:00,20.49,20.4999,20.49,20.4942,10440.0
2017-04-05 11:10:00,20.49,20.5,20.48,20.48,10473.0
2017-04-05 11:15:00,20.47,20.48,20.452,20.46,5124.0
2017-04-05 11:20:00,20.45,20.46,20.43,20.44,3650.0
2017-04-05 11:25:00,20.43,20.44,20.42,20.43,2500.0
2017-04-05 11:30:00,20.42,20.44,20.42,20.44,3650.0
2017-04-05 11:35:00,20.45,20.45,20.42,20.42,4755.0
2017-04-05 11:40:00,20.42,20.4234,20.4,20.41,2414.0
2017-04-05 11:45:00,20.3901,20.4,20.36,20.36,3962.0
2017-04-05 11:50:00,20.3699,20.39,20.3699,20.39,1713.0
2017-04-05 11:55:00,20.3961,20.41,20.39,20.41,1100.0
2017-04-05 12:00:00,20.4067,20.455,20.4,20.45,7618.0
2017-04-05 12:05:00,20.46,20.46,20.44,20.445,3490.0
2017-04-05 12:10:00,20.44,20.449,20.43,20.43,1385.0
2017-04-05 12:15:00,20.44,20.44,20.43,20.43,1400.0
2017-04-05 12:20:00,20.44,20.44,20.43,20.44,800.0
2017-04-05 12:25:00,20.43,20.45,20.43,20.445,1500.0
